bag,t,wall,dt_s,hd_pair
concrete_20260826_2026-08-26-17-52-24,1787739743.628,2026-08-26 18:22:23.628,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739744.029,2026-08-26 18:22:24.029,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739744.832,2026-08-26 18:22:24.832,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739745.233,2026-08-26 18:22:25.233,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739745.635,2026-08-26 18:22:25.635,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787739746.236,2026-08-26 18:22:26.236,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739746.236,2026-08-26 18:22:26.236,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739799.231,2026-08-26 18:23:19.231,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739799.631,2026-08-26 18:23:19.631,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739799.631,2026-08-26 18:23:19.631,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739800.233,2026-08-26 18:23:20.233,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739800.233,2026-08-26 18:23:20.233,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739802.238,2026-08-26 18:23:22.238,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739802.238,2026-08-26 18:23:22.238,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739858.234,2026-08-26 18:24:18.234,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739859.236,2026-08-26 18:24:19.236,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739859.437,2026-08-26 18:24:19.437,0.0,1
demo_0824_2026-08-24-18-39-18,1787567988.532,2026-08-24 18:39:48.532,0.001,1
demo_0824_2026-08-24-18-39-18,1787567989.134,2026-08-24 18:39:49.134,0.401,1
demo_0824_2026-08-24-18-39-18,1787567989.134,2026-08-24 18:39:49.134,0.0,1
demo_0824_2026-08-24-18-39-18,1787568031.515,2026-08-24 18:40:31.515,0.001,1
demo_0824_2026-08-24-18-39-18,1787568032.117,2026-08-24 18:40:32.117,0.401,1
demo_0824_2026-08-24-18-39-18,1787568032.317,2026-08-24 18:40:32.317,0.0,1
demo_0824_2026-08-24-18-39-18,1787568067.278,2026-08-24 18:41:07.278,0.0,1
demo_0824_2026-08-24-18-39-18,1787568068.082,2026-08-24 18:41:08.082,0.402,1
demo_0824_2026-08-24-18-39-18,1787568068.083,2026-08-24 18:41:08.083,0.001,1
demo_0824_2026-08-24-18-39-18,1787568100.454,2026-08-24 18:41:40.454,0.0,1
demo_0824_2026-08-24-18-39-18,1787568101.056,2026-08-24 18:41:41.056,0.401,1
demo_0824_2026-08-24-18-39-18,1787568101.258,2026-08-24 18:41:41.258,0.0,1
demo_0824_2026-08-24-18-39-18,1787568138.432,2026-08-24 18:42:18.432,0.0,1
demo_0824_2026-08-24-18-39-18,1787568139.034,2026-08-24 18:42:19.034,0.401,1
demo_0824_2026-08-24-18-39-18,1787568139.034,2026-08-24 18:42:19.034,0.0,1
demo_0824_2026-08-24-18-39-18,1787568177.412,2026-08-24 18:42:57.412,0.001,1
demo_0824_2026-08-24-18-39-18,1787568178.014,2026-08-24 18:42:58.014,0.401,1
demo_0824_2026-08-24-18-39-18,1787568178.215,2026-08-24 18:42:58.215,0.0,1
demo_0824_2026-08-24-18-39-18,1787568183.036,2026-08-24 18:43:03.036,0.401,1
demo_0824_2026-08-24-18-39-18,1787568183.036,2026-08-24 18:43:03.036,0.0,1
demo_0824_2026-08-24-18-39-18,1787568183.438,2026-08-24 18:43:03.438,0.402,1
demo_0824_2026-08-24-18-39-18,1787568183.438,2026-08-24 18:43:03.438,0.0,1
demo_0824_2026-08-24-18-39-18,1787568184.04,2026-08-24 18:43:04.040,0.401,1
demo_0824_2026-08-24-18-39-18,1787568197.5,2026-08-24 18:43:17.500,0.001,1
demo_0824_2026-08-24-18-39-18,1787568198.102,2026-08-24 18:43:18.102,0.401,1
demo_0824_2026-08-24-18-39-18,1787568198.102,2026-08-24 18:43:18.102,0.001,1
demo_0824_2026-08-24-18-39-18,1787568198.504,2026-08-24 18:43:18.504,0.402,1
demo_0824_2026-08-24-18-39-18,1787568198.706,2026-08-24 18:43:18.706,0.0,1
demo_0824_2026-08-24-18-39-18,1787568199.107,2026-08-24 18:43:19.107,0.401,1
demo_0824_2026-08-24-18-39-18,1787568199.107,2026-08-24 18:43:19.107,0.0,1
demo_0824_2026-08-24-18-39-18,1787568217.189,2026-08-24 18:43:37.189,0.0,1
demo_0824_2026-08-24-18-39-18,1787568225.026,2026-08-24 18:43:45.026,0.0,1
demo_0824_2026-08-24-18-39-18,1787568283.526,2026-08-24 18:44:43.526,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564168.464,2026-08-24 17:36:08.464,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564169.066,2026-08-24 17:36:09.066,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564169.468,2026-08-24 17:36:09.468,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564170.069,2026-08-24 17:36:10.069,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564170.071,2026-08-24 17:36:10.071,0.001,1
fixed_0824_2026-08-24-17-36-06,1787564214.044,2026-08-24 17:36:54.044,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564215.047,2026-08-24 17:36:55.047,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564215.047,2026-08-24 17:36:55.047,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564258.627,2026-08-24 17:37:38.627,0.0,1
